,precision,recall,f1-score,support
Fast Food,1.0,1.0,1.0,58.0
Padaria,0.975,1.0,0.9873417721518988,39.0
Supermercado,1.0,0.9827586206896551,0.991304347826087,58.0
accuracy,0.9935483870967742,0.9935483870967742,0.9935483870967742,0.9935483870967742
macro avg,0.9916666666666667,0.9942528735632185,0.9928820399926619,155.0
weighted avg,0.9937096774193549,0.9935483870967742,0.9935611695989491,155.0
